facility_name,fac_index,tollbooth,tollseg,tolltype,useclass,tollea_da,tollam_da,tollmd_da,tollpm_da,tollev_da,tollea_s2,tollam_s2,tollmd_s2,tollpm_s2,tollev_s2,tollea_s3,tollam_s3,tollmd_s3,tollpm_s3,tollev_s3,tollea_vsm,tollam_vsm,tollmd_vsm,tollpm_vsm,tollev_vsm,tollea_sml,tollam_sml,tollmd_sml,tollpm_sml,tollev_sml,tollea_med,tollam_med,tollmd_med,tollpm_med,tollev_med,tollea_lrg,tollam_lrg,tollmd_lrg,tollpm_lrg,tollev_lrg
I-580 EL WB Airway Blvd to Livermore Ave,29024,29,2,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL WB Livermore Ave to Vasco Rd,29034,29,3,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL WB Vasco Rd to Greenville Rd,29044,29,4,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL WB,29054,29,5,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL EB Greenville Rd to Springtown Blvd,28014,28,1,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL EB Springtown to Isabel Ave,28024,28,2,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL EB Isabel Ave to Fallon Rd,28034,28,3,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL EB Fallon Rd to Hacienda Dr,28044,28,4,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL EB Hacienda Dr to San Ramon Rd,28054,28,5,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
SR-237 EL SB Dixon Landing Rd to N First Ave (Westbound),31014,31,1,expr_lane,4,0,0.94,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0.17,0,0,0.94,0,0.16,0,0,0.94,0,0.16,0,0,0.94,0,0.16,0
SR-237 EL NB N First Ave to Dixon Landing Rd (Eastbound),32014,32,1,expr_lane,4,0,0.06,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.62,0,0,0.06,0,0.57,0,0,0.06,0,0.57,0,0,0.06,0,0.57,0
I-680 CCEL NB Alcosta to Crow Canyon (Crow Canyon NB pricing zone),33012,33,1,expr_lane,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-680 CCEL NB Alcosta to Crow Canyon (Crow Canyon NB pricing zone),33014,33,1,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-680 CCEL NB Crow Canyon to Livorna (Livorna pricing zone),33024,33,2,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-680 CCEL SB Rudgear to Crow Canyon (Crow Canyon SB pricing zone),34012,34,1,expr_lane,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-680 CCEL SB Rudgear to Crow Canyon (Crow Canyon SB pricing zone),34014,34,1,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-680 CCEL SB Crow Canyon to Alcosta (Alcosta pricing zone),34024,34,2,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
